магазин_id;регион;тип_магазина;район;площадь_кв_м;день;период;продажи;посетители;средний_чек;скидка_процент
МАГ001;СПб;Супермаркет;Центр;1219;-7;До акции;178850;1564;114.35;0
МАГ001;СПб;Супермаркет;Центр;1219;-6;До акции;124780;1589;78.53;0
МАГ001;СПб;Супермаркет;Центр;1219;-5;До акции;137270;1353;101.46;0
МАГ001;СПб;Супермаркет;Центр;1219;-4;До акции;194176;1357;143.09;0
МАГ001;СПб;Супермаркет;Центр;1219;-3;До акции;193321;1541;125.45;0
МАГ001;СПб;Супермаркет;Центр;1219;-2;До акции;172319;1546;111.46;0
МАГ001;СПб;Супермаркет;Центр;1219;-1;До акции;112750;1535;73.45;0
МАГ001;СПб;Супермаркет;Центр;1219;1;Акция;282040;1817;155.22;20
МАГ001;СПб;Супермаркет;Центр;1219;2;Акция;283567;1841;154.03;20
МАГ001;СПб;Супермаркет;Центр;1219;3;Акция;256546;1663;154.27;20
МАГ001;СПб;Супермаркет;Центр;1219;4;После акции;151804;1560;97.31;0
МАГ001;СПб;Супермаркет;Центр;1219;5;После акции;144337;1262;114.37;0
МАГ001;СПб;Супермаркет;Центр;1219;6;После акции;165364;1462;113.11;0
МАГ001;СПб;Супермаркет;Центр;1219;7;После акции;141587;1581;89.56;0
МАГ001;СПб;Супермаркет;Центр;1219;8;После акции;158448;1418;111.74;0
МАГ001;СПб;Супермаркет;Центр;1219;9;После акции;167733;1492;112.42;0
МАГ001;СПб;Супермаркет;Центр;1219;10;После акции;131332;1243;105.66;0
МАГ002;Москва;Гипермаркет;Промзона;3342;-7;До акции;211895;2305;91.93;0
МАГ002;Москва;Гипермаркет;Промзона;3342;-6;До акции;238486;2729;87.39;0
МАГ002;Москва;Гипермаркет;Промзона;3342;-5;До акции;170503;2929;58.21;0
МАГ002;Москва;Гипермаркет;Промзона;3342;-4;До акции;182650;2555;71.49;0
МАГ002;Москва;Гипермаркет;Промзона;3342;-3;До акции;136162;2161;63.01;0
МАГ002;Москва;Гипермаркет;Промзона;3342;-2;До акции;169073;2796;60.47;0
МАГ002;Москва;Гипермаркет;Промзона;3342;-1;До акции;163094;2592;62.92;0
МАГ002;Москва;Гипермаркет;Промзона;3342;1;Акция;254294;2574;98.79;10
МАГ002;Москва;Гипермаркет;Промзона;3342;2;Акция;292316;2795;104.59;10
МАГ002;Москва;Гипермаркет;Промзона;3342;3;Акция;275702;2689;102.53;10
МАГ002;Москва;Гипермаркет;Промзона;3342;4;После акции;151121;2537;59.57;0
МАГ002;Москва;Гипермаркет;Промзона;3342;5;После акции;144439;2785;51.86;0
МАГ002;Москва;Гипермаркет;Промзона;3342;6;После акции;137385;2295;59.86;0
МАГ002;Москва;Гипермаркет;Промзона;3342;7;После акции;141073;2679;52.66;0
МАГ002;Москва;Гипермаркет;Промзона;3342;8;После акции;140528;2530;55.54;0
МАГ002;Москва;Гипермаркет;Промзона;3342;9;После акции;161894;2665;60.75;0
МАГ002;Москва;Гипермаркет;Промзона;3342;10;После акции;176404;2228;79.18;0
МАГ003;МО;У дома;Промзона;1271;-7;До акции;133289;1112;119.86;0
МАГ003;МО;У дома;Промзона;1271;-6;До акции;99579;1079;92.29;0
МАГ003;МО;У дома;Промзона;1271;-5;До акции;110005;1086;101.29;0
МАГ003;МО;У дома;Промзона;1271;-4;До акции;77232;1474;52.4;0
МАГ003;МО;У дома;Промзона;1271;-3;До акции;119800;1301;92.08;0
МАГ003;МО;У дома;Промзона;1271;-2;До акции;110810;1231;90.02;0
МАГ003;МО;У дома;Промзона;1271;-1;До акции;131819;1429;92.25;0
МАГ003;МО;У дома;Промзона;1271;1;Акция;182566;1700;107.39;25
МАГ003;МО;У дома;Промзона;1271;2;Акция;181569;1637;110.92;25
МАГ003;МО;У дома;Промзона;1271;3;Акция;174083;1807;96.34;25
МАГ003;МО;У дома;Промзона;1271;4;После акции;105838;1115;94.92;0
МАГ003;МО;У дома;Промзона;1271;5;После акции;109571;1113;98.45;0
МАГ003;МО;У дома;Промзона;1271;6;После акции;101981;1340;76.11;0
МАГ003;МО;У дома;Промзона;1271;7;После акции;95144;1312;72.52;0
МАГ003;МО;У дома;Промзона;1271;8;После акции;118198;1198;98.66;0
МАГ003;МО;У дома;Промзона;1271;9;После акции;82672;1191;69.41;0
МАГ003;МО;У дома;Промзона;1271;10;После акции;86236;1283;67.21;0
МАГ004;МО;Гипермаркет;Спальный район;4301;-7;До акции;133464;1401;95.26;0
МАГ004;МО;Гипермаркет;Спальный район;4301;-6;До акции;159285;1724;92.39;0
МАГ004;МО;Гипермаркет;Спальный район;4301;-5;До акции;177578;1530;116.06;0
МАГ004;МО;Гипермаркет;Спальный район;4301;-4;До акции;182732;1531;119.35;0
МАГ004;МО;Гипермаркет;Спальный район;4301;-3;До акции;202334;1645;123.0;0
МАГ004;МО;Гипермаркет;Спальный район;4301;-2;До акции;132945;1905;69.79;0
МАГ004;МО;Гипермаркет;Спальный район;4301;-1;До акции;149016;1764;84.48;0
МАГ004;МО;Гипермаркет;Спальный район;4301;1;Акция;273951;1741;157.35;10
МАГ004;МО;Гипермаркет;Спальный район;4301;2;Акция;237769;1916;124.1;10
МАГ004;МО;Гипермаркет;Спальный район;4301;3;Акция;281767;1954;144.2;10
МАГ004;МО;Гипермаркет;Спальный район;4301;4;После акции;170748;1394;122.49;0
МАГ004;МО;Гипермаркет;Спальный район;4301;5;После акции;162820;1665;97.79;0
МАГ004;МО;Гипермаркет;Спальный район;4301;6;После акции;189424;1762;107.51;0
МАГ004;МО;Гипермаркет;Спальный район;4301;7;После акции;218238;1485;146.96;0
МАГ004;МО;Гипермаркет;Спальный район;4301;8;После акции;196798;1682;117.0;0
МАГ004;МО;Гипермаркет;Спальный район;4301;9;После акции;159410;1670;95.46;0
МАГ004;МО;Гипермаркет;Спальный район;4301;10;После акции;184839;1557;118.71;0
МАГ005;МО;Гипермаркет;Центр;2067;-7;До акции;94117;2396;39.28;0
МАГ005;МО;Гипермаркет;Центр;2067;-6;До акции;113968;1989;57.3;0
МАГ005;МО;Гипермаркет;Центр;2067;-5;До акции;102634;2125;48.3;0
МАГ005;МО;Гипермаркет;Центр;2067;-4;До акции;108113;2199;49.16;0
МАГ005;МО;Гипермаркет;Центр;2067;-3;До акции;103260;2368;43.61;0
МАГ005;МО;Гипермаркет;Центр;2067;-2;До акции;100718;2300;43.79;0
МАГ005;МО;Гипермаркет;Центр;2067;-1;До акции;109713;2379;46.12;0
МАГ005;МО;Гипермаркет;Центр;2067;1;Акция;171130;2736;62.55;20
МАГ005;МО;Гипермаркет;Центр;2067;2;Акция;191642;2795;68.57;20
МАГ005;МО;Гипермаркет;Центр;2067;3;Акция;198629;2714;73.19;20
МАГ005;МО;Гипермаркет;Центр;2067;4;После акции;115807;1967;58.87;0
МАГ005;МО;Гипермаркет;Центр;2067;5;После акции;116484;2250;51.77;0
МАГ005;МО;Гипермаркет;Центр;2067;6;После акции;135869;1766;76.94;0
МАГ005;МО;Гипермаркет;Центр;2067;7;После акции;116766;2331;50.09;0
МАГ005;МО;Гипермаркет;Центр;2067;8;После акции;144870;1839;78.78;0
МАГ005;МО;Гипермаркет;Центр;2067;9;После акции;132063;2008;65.77;0
МАГ005;МО;Гипермаркет;Центр;2067;10;После акции;166749;2093;79.67;0
МАГ006;Волгоградская область;У дома;Промзона;868;-7;До акции;125940;740;170.19;0
МАГ006;Волгоградская область;У дома;Промзона;868;-6;До акции;146868;934;157.25;0
МАГ006;Волгоградская область;У дома;Промзона;868;-5;До акции;88905;851;104.47;0
МАГ006;Волгоградская область;У дома;Промзона;868;-4;До акции;92923;774;120.06;0
