id_объявления;район;тип_недвижимости;комнат;площадь_кв_м;этаж;этажность_дома;год_постройки;состояние;тип_дома;цена_руб;цена_за_кв_м;балкон;парковка;до_метро_мин;дата_публикации
APT0001;Верх-Исетский;Новостройка;2;50;3;6;2023;Евроремонт;Панельный;4583423;91668;Есть;Есть;35;17.06.2025
APT0002;Ленинский;Вторичка;5;149;2;11;2007;Евроремонт;Кирпичный;13479918;90469;Нет;Нет;18;13.06.2025
APT0003;Орджоникидзевский;Вторичка;5;164;9;17;1974;Черновая;Панельный;6866815;41870;Есть;Нет;47;30.07.2025
APT0004;Центральный;Элитное жилье;2;49;3;9;2024;Чистовая;Монолитный;9370070;191225;Нет;Есть;30;21.06.2025
APT0005;Кировский;Вторичка;4;88;13;15;2002;Дизайнерский ремонт;Кирпичный;8626789;98031;Нет;Нет;44;28.06.2025
APT0006;Октябрьский;Новостройка;1;41;20;20;2025;Евроремонт;Монолит-кирпич;4392123;107124;Нет;Нет;25;03.08.2025
APT0007;Академический;Вторичка;1;32;2;11;1979;Евроремонт;Кирпичный;3812246;119132;Нет;Нет;44;20.07.2025
APT0008;Ленинский;Вторичка;5;100;22;23;1975;Дизайнерский ремонт;Панельный;10811894;108118;Есть;Нет;16;17.07.2025
APT0009;Железнодорожный;Вторичка;4;114;16;17;2013;Евроремонт;Кирпичный;6418959;56306;Нет;Нет;54;26.07.2025
APT0010;Центральный;Элитное жилье;4;112;10;17;2017;Без отделки;Панельный;12889558;115085;Нет;Нет;42;13.08.2025
APT0011;Академический;Вторичка;5;109;3;9;1969;Евроремонт;Монолит-кирпич;13255940;121614;Есть;Нет;26;14.07.2025
APT0012;Ленинский;Вторичка;1;31;6;16;2008;Чистовая;Панельный;2218720;71571;Нет;Нет;21;20.08.2025
APT0013;Советский;Элитное жилье;5;133;21;22;2022;Без отделки;Монолитный;12743370;95814;Нет;Нет;47;15.07.2025
APT0014;Советский;Новостройка;2;52;5;5;2023;Дизайнерский ремонт;Монолитный;5336890;102632;Есть;Есть;47;20.07.2025
APT0015;Октябрьский;Элитное жилье;5;145;4;11;2022;Дизайнерский ремонт;Монолитный;30380268;209519;Нет;Есть;40;12.06.2025
APT0016;Кировский;Новостройка;5;171;25;25;2020;Без отделки;Монолитный;10064164;58854;Нет;Есть;31;05.07.2025
APT0017;Советский;Вторичка;1;36;10;12;1983;Без отделки;Монолит-кирпич;2027805;56327;Нет;Нет;40;26.08.2025
APT0018;Ленинский;Новостройка;1;42;5;5;2020;Чистовая;Монолитный;4853062;115549;Нет;Есть;42;18.07.2025
APT0019;Ленинский;Новостройка;1;45;4;14;2025;Дизайнерский ремонт;Панельный;4861688;108037;Нет;Есть;18;07.09.2025
APT0020;Железнодорожный;Элитное жилье;3;85;5;5;2022;Дизайнерский ремонт;Кирпичный;12320790;144950;Нет;Нет;47;27.07.2025
APT0021;Орджоникидзевский;Вторичка;1;37;7;23;1985;Без отделки;Кирпичный;1485633;40152;Есть;Нет;26;06.07.2025
APT0022;Октябрьский;Элитное жилье;2;63;2;15;2024;Без отделки;Монолит-кирпич;7977287;126623;Есть;Есть;21;14.07.2025
APT0023;Центральный;Вторичка;2;57;7;7;1968;Чистовая;Кирпичный;5197481;91183;Есть;Нет;45;25.08.2025
APT0024;Орджоникидзевский;Новостройка;5;119;12;21;2020;Дизайнерский ремонт;Монолит-кирпич;12380706;104039;Нет;Есть;44;29.06.2025
APT0025;Орджоникидзевский;Новостройка;3;60;4;21;2023;Черновая;Монолитный;3521106;58685;Есть;Нет;21;22.07.2025
APT0026;Железнодорожный;Вторичка;1;31;15;15;2019;Без отделки;Монолит-кирпич;1724264;55621;Нет;Нет;42;05.07.2025
APT0027;Кировский;Элитное жилье;1;29;21;21;2018;Без отделки;Монолит-кирпич;3637879;125444;Нет;Нет;52;28.08.2025
APT0028;Кировский;Элитное жилье;4;99;14;16;2021;Дизайнерский ремонт;Монолитный;14953107;151041;Есть;Есть;26;28.06.2025
APT0029;Советский;Новостройка;3;79;24;25;2021;Евроремонт;Кирпичный;7981414;101030;Есть;Нет;38;20.08.2025
APT0030;Кировский;Вторичка;1;39;24;24;1961;Без отделки;Монолит-кирпич;2366939;60690;Нет;Нет;42;01.08.2025
APT0031;Центральный;Элитное жилье;3;67;7;14;2014;Чистовая;Монолитный;16028735;239234;Нет;Есть;19;12.07.2025
APT0032;Орджоникидзевский;Новостройка;3;75;1;7;2024;Евроремонт;Монолит-кирпич;6870939;91612;Нет;Нет;36;10.08.2025
APT0033;Верх-Исетский;Новостройка;3;60;2;17;2025;Дизайнерский ремонт;Панельный;6431512;107191;Нет;Нет;19;09.08.2025
APT0034;Советский;Элитное жилье;1;31;16;20;2016;Без отделки;Кирпичный;3940988;127128;Нет;Нет;31;06.07.2025
APT0035;Орджоникидзевский;Вторичка;3;71;2;14;1996;Дизайнерский ремонт;Кирпичный;5187388;73061;Нет;Нет;30;31.08.2025
APT0036;Кировский;Вторичка;1;38;3;7;2013;Без отделки;Кирпичный;2444243;64322;Нет;Нет;29;07.07.2025
APT0037;Советский;Новостройка;3;89;11;25;2020;Евроремонт;Кирпичный;10839236;121789;Есть;Нет;47;07.09.2025
APT0038;Кировский;Новостройка;1;26;12;21;2020;Дизайнерский ремонт;Монолит-кирпич;2707937;104151;Нет;Есть;56;12.06.2025
APT0039;Советский;Вторичка;3;67;3;15;1995;Евроремонт;Монолит-кирпич;6326234;94421;Есть;Нет;37;13.08.2025
APT0040;Академический;Новостройка;3;63;10;12;2023;Дизайнерский ремонт;Монолитный;10359954;164443;Есть;Есть;43;04.09.2025
APT0041;Верх-Исетский;Новостройка;5;103;7;14;2020;Евроремонт;Монолитный;14498720;140764;Есть;Нет;32;20.06.2025
APT0042;Центральный;Новостройка;5;168;8;9;2022;Черновая;Панельный;15305408;91103;Нет;Нет;17;19.06.2025
APT0043;Академический;Элитное жилье;2;52;9;13;2021;Дизайнерский ремонт;Монолитный;14898503;286509;Нет;Нет;50;19.06.2025
APT0044;Октябрьский;Новостройка;4;106;11;13;2021;Чистовая;Панельный;8606973;81197;Нет;Есть;46;18.07.2025
APT0045;Железнодорожный;Элитное жилье;4;107;4;25;2024;Евроремонт;Монолитный;14038168;131197;Нет;Есть;52;23.06.2025
APT0046;Орджоникидзевский;Вторичка;3;78;3;15;1997;Чистовая;Кирпичный;4343354;55684;Есть;Нет;53;21.08.2025
APT0047;Верх-Исетский;Вторичка;2;62;5;19;2001;Дизайнерский ремонт;Панельный;6707350;108183;Нет;Нет;26;31.08.2025
APT0048;Железнодорожный;Новостройка;3;84;9;9;2024;Евроремонт;Монолитный;7373265;87776;Есть;Нет;34;01.08.2025
APT0049;Ленинский;Новостройка;5;168;11;12;2022;Черновая;Монолит-кирпич;14004566;83360;Нет;Есть;21;26.06.2025
APT0050;Октябрьский;Вторичка;1;31;7;14;1967;Дизайнерский ремонт;Панельный;2858347;92204;Нет;Нет;16;13.08.2025
APT0051;Академический;Элитное жилье;2;41;9;18;2022;Евроремонт;Кирпичный;7999902;195119;Нет;Есть;18;16.08.2025
APT0052;Октябрьский;Элитное жилье;1;27;21;22;2019;Евроремонт;Кирпичный;4188734;155138;Есть;Нет;56;05.07.2025
APT0053;Кировский;Вторичка;3;71;9;10;1970;Евроремонт;Монолитный;5348200;75326;Нет;Нет;35;25.08.2025
APT0054;Октябрьский;Вторичка;2;68;8;25;1992;Дизайнерский ремонт;Панельный;6254847;91983;Нет;Нет;51;06.07.2025
APT0055;Железнодорожный;Элитное жилье;3;63;3;18;2013;Дизайнерский ремонт;Панельный;7281220;115574;Нет;Есть;21;02.08.2025
APT0056;Советский;Вторичка;5;106;9;19;2018;Чистовая;Панельный;6654450;62777;Нет;Нет;53;09.08.2025
