id_кредита;возраст_заемщика;доход_руб;тип_занятости;семейное_положение;цель_кредита;сумма_кредита;срок_месяцев;процентная_ставка;ежемесячный_платеж;отношение_платеж_доход;дата_выдачи;просрочка_дней;текущий_статус;риск_скор
KR000001;41;100000;Пенсионер;Разведен(а);Ипотека;4679850;300;9.87;42112.81;0.421;27.11.2024;0;Норма;0.05
KR000002;36;120000;ИП;Женат/Замужем;Рефинансирование;1210088;36;15.94;42506.53;0.354;19.01.2023;0;Норма;0.02
KR000003;25;45000;Госслужащий;Разведен(а);Ипотека;5042822;180;10.5;55734.78;1.239;14.07.2023;0;Норма;0.2
KR000004;51;25000;Госслужащий;Холост/Не замужем;Ипотека;3809684;300;10.85;36914.0;1.477;15.11.2023;0;Норма;0.3
KR000005;34;45000;Госслужащий;Вдовец/Вдова;Потребительский;748968;36;17.17;26766.56;0.595;14.03.2024;0;Норма;0.15
KR000006;63;85000;ИП;Разведен(а);Потребительский;616396;12;17.13;56256.41;0.662;03.02.2024;0;Норма;0.45
KR000007;30;85000;Госслужащий;Разведен(а);Автокредит;1609450;60;14.37;37758.02;0.444;09.09.2024;0;Норма;0.0
KR000008;25;25000;ИП;Разведен(а);Рефинансирование;406788;24;16.16;19948.92;0.798;20.12.2024;0;Норма;0.5
KR000009;56;70000;Пенсионер;Женат/Замужем;Ипотека;2404121;120;10.79;32832.42;0.469;20.10.2024;0;Норма;-0.03
KR000010;30;150000;Госслужащий;Женат/Замужем;Потребительский;549616;60;16.6;13542.47;0.09;01.09.2023;0;Норма;-0.18
KR000011;33;25000;ИП;Вдовец/Вдова;Потребительский;1121037;24;24.83;59736.25;2.389;17.02.2024;90;Просрочка;0.45
KR000012;22;85000;ИП;Разведен(а);Ипотека;2524958;180;11.28;29146.46;0.343;18.03.2023;0;Норма;0.25
KR000013;57;25000;Наемный работник;Женат/Замужем;Автокредит;1883811;60;13.44;43289.32;1.732;18.05.2024;0;Норма;0.32
KR000014;34;25000;Наемный работник;Женат/Замужем;Автокредит;2095099;84;16.47;42175.41;1.687;03.10.2024;0;Норма;0.32
KR000015;27;150000;Наемный работник;Холост/Не замужем;Рефинансирование;77553;36;20.9;2917.9;0.019;20.08.2024;0;Норма;-0.1
KR000016;23;25000;Пенсионер;Вдовец/Вдова;Ипотека;3302667;120;12.47;48289.64;1.932;15.08.2024;180;Проблемный;0.45
KR000017;27;35000;Наемный работник;Женат/Замужем;Потребительский;235306;60;19.29;6142.01;0.175;19.02.2024;0;Норма;0.07
KR000018;56;85000;Пенсионер;Вдовец/Вдова;Ипотека;5097614;300;11.94;53450.77;0.629;30.09.2024;0;Норма;0.2
KR000019;49;100000;Пенсионер;Вдовец/Вдова;Потребительский;592329;24;22.37;30838.42;0.308;16.10.2024;0;Норма;0.0
KR000020;63;200000;Пенсионер;Разведен(а);Потребительский;1223751;36;15.18;42530.34;0.213;28.09.2024;0;Норма;0.05
KR000021;25;55000;Наемный работник;Вдовец/Вдова;Рефинансирование;1107917;48;17.62;32323.08;0.588;28.05.2023;0;Норма;0.2
KR000022;47;25000;Наемный работник;Разведен(а);Потребительский;1308512;12;20.67;121633.48;4.865;13.10.2024;0;Норма;0.4
KR000023;52;35000;ИП;Вдовец/Вдова;Автокредит;2330862;48;13.9;63581.72;1.817;19.08.2023;0;Норма;0.45
KR000024;48;35000;Пенсионер;Холост/Не замужем;Автокредит;2487536;48;15.1;69350.44;1.981;30.06.2024;0;Норма;0.35
KR000025;58;120000;ИП;Вдовец/Вдова;Потребительский;213424;36;18.46;7765.03;0.065;10.07.2024;0;Норма;0.0
KR000026;34;200000;Пенсионер;Вдовец/Вдова;Ипотека;2545104;120;12.6;37406.44;0.187;15.06.2023;0;Норма;-0.1
KR000027;64;35000;Госслужащий;Вдовец/Вдова;Потребительский;1036068;36;24.82;41096.96;1.174;02.08.2023;0;Норма;0.4
KR000028;54;35000;ИП;Холост/Не замужем;Автокредит;2354211;84;14.73;45076.08;1.288;02.08.2023;15;Просрочка;0.45
KR000029;59;25000;Пенсионер;Разведен(а);Потребительский;1194592;24;14.02;57369.04;2.295;02.10.2024;0;Норма;0.4
KR000030;49;25000;ИП;Женат/Замужем;Ипотека;5159466;300;12.28;55417.78;2.217;18.10.2023;0;Норма;0.42
KR000031;48;35000;Наемный работник;Разведен(а);Ипотека;7908441;180;12.16;95728.51;2.735;30.06.2023;0;Норма;0.4
KR000032;42;200000;Госслужащий;Женат/Замужем;Рефинансирование;1159097;36;18.94;42449.99;0.212;21.06.2023;0;Норма;-0.18
KR000033;31;150000;Пенсионер;Разведен(а);Ипотека;2659741;240;10.54;26616.89;0.177;05.09.2023;0;Норма;-0.05
KR000034;39;100000;Пенсионер;Женат/Замужем;Потребительский;857057;36;21.94;32706.95;0.327;30.05.2023;0;Норма;-0.03
KR000035;53;120000;Наемный работник;Женат/Замужем;Рефинансирование;337791;60;22.48;9422.74;0.079;05.07.2023;0;Норма;-0.13
KR000036;64;25000;Наемный работник;Разведен(а);Потребительский;495498;36;14.16;16972.78;0.679;09.09.2023;0;Норма;0.5
KR000037;58;45000;Госслужащий;Женат/Замужем;Рефинансирование;735462;36;21.57;27925.42;0.621;04.06.2024;0;Норма;0.12
KR000038;27;55000;Пенсионер;Женат/Замужем;Потребительский;1194429;12;21.78;111663.35;2.03;16.01.2024;0;Норма;0.17
KR000039;64;100000;Пенсионер;Вдовец/Вдова;Рефинансирование;1134496;24;16.72;55941.22;0.559;23.02.2024;0;Норма;0.3
KR000040;52;70000;ИП;Холост/Не замужем;Потребительский;430865;24;19.59;21842.47;0.312;27.07.2023;0;Норма;0.1
KR000041;42;45000;Пенсионер;Разведен(а);Рефинансирование;1036962;24;16.39;50967.5;1.133;16.08.2024;0;Норма;0.25
KR000042;22;70000;Наемный работник;Разведен(а);Рефинансирование;515092;36;19.13;18915.66;0.27;19.10.2024;0;Норма;0.1
