название;категория;цена;количество_на_складе
Молоко 1л;Молочные;85;25
Творог 200г;Молочные;150;18
Сметана 250г;Молочные;120;22
Йогурт 150г;Молочные;65;30
Хлеб белый;Хлебобулочные;45;15
Батон нарезной;Хлебобулочные;38;20
Булочки с маком;Хлебобулочные;25;35
Круассан;Хлебобулочные;55;12
Колбаса варёная;Мясные;320;8
Сосиски молочные;Мясные;180;25
Фарш говяжий;Мясные;280;12
Курица целая;Мясные;250;6
Яблоки Гала;Фрукты/Овощи;120;40
Бананы;Фрукты/Овощи;80;35
Апельсины;Фрукты/Овощи;140;28
Картофель;Фрукты/Овощи;35;50
Чай чёрный;Напитки;180;12
Кофе растворимый;Напитки;250;8
Сок яблочный;Напитки;95;24
Вода минеральная;Напитки;45;30
