дата;день_недели;товар;приход;расход;тип_операции
16.09;Понедельник;Йогурт;0;11;Продажа
16.09;Понедельник;Конфеты;10;0;Поступление
16.09;Понедельник;Конфеты;0;5;Продажа
16.09;Понедельник;Печенье;0;11;Продажа
16.09;Понедельник;Сыр;0;8;Продажа
16.09;Понедельник;Хлеб;24;0;Поступление
16.09;Понедельник;Хлеб;0;2;Продажа
16.09;Понедельник;Чай;0;15;Продажа
17.09;Вторник;Конфеты;0;10;Продажа
17.09;Вторник;Печенье;0;11;Продажа
17.09;Вторник;Сок;0;1;Продажа
17.09;Вторник;Сыр;37;0;Поступление
17.09;Вторник;Сыр;15;0;Поступление
17.09;Вторник;Сыр;0;13;Продажа
17.09;Вторник;Сыр;0;9;Продажа
17.09;Вторник;Хлеб;13;0;Поступление
17.09;Вторник;Хлеб;0;13;Продажа
18.09;Среда;Вода;30;0;Поступление
18.09;Среда;Вода;0;10;Продажа
18.09;Среда;Печенье;30;0;Поступление
18.09;Среда;Сок;0;4;Продажа
18.09;Среда;Сыр;0;5;Продажа
18.09;Среда;Хлеб;0;6;Продажа
18.09;Среда;Хлеб;0;7;Продажа
19.09;Четверг;Вода;0;8;Продажа
19.09;Четверг;Йогурт;26;0;Поступление
19.09;Четверг;Конфеты;0;15;Продажа
19.09;Четверг;Конфеты;0;11;Продажа
19.09;Четверг;Конфеты;0;3;Продажа
19.09;Четверг;Молоко;23;0;Поступление
19.09;Четверг;Молоко;0;4;Продажа
19.09;Четверг;Молоко;0;15;Продажа
19.09;Четверг;Печенье;0;3;Продажа
19.09;Четверг;Печенье;0;5;Продажа
19.09;Четверг;Чай;25;0;Поступление
20.09;Пятница;Вода;42;0;Поступление
20.09;Пятница;Йогурт;0;14;Продажа
20.09;Пятница;Конфеты;36;0;Поступление
20.09;Пятница;Молоко;42;0;Поступление
20.09;Пятница;Молоко;0;8;Продажа
20.09;Пятница;Печенье;0;9;Продажа
20.09;Пятница;Печенье;0;9;Продажа
20.09;Пятница;Печенье;0;9;Продажа
20.09;Пятница;Сыр;0;1;Продажа
20.09;Пятница;Чай;0;14;Продажа
20.09;Пятница;Чай;0;14;Продажа
21.09;Суббота;Вода;42;0;Поступление
21.09;Суббота;Вода;25;0;Поступление
21.09;Суббота;Вода;0;7;Продажа
21.09;Суббота;Колбаса;42;0;Поступление
21.09;Суббота;Колбаса;0;13;Продажа
21.09;Суббота;Колбаса;0;8;Продажа
21.09;Суббота;Конфеты;0;10;Продажа
21.09;Суббота;Молоко;22;0;Поступление
21.09;Суббота;Печенье;0;7;Продажа
21.09;Суббота;Сок;0;14;Продажа
21.09;Суббота;Сыр;0;11;Продажа
21.09;Суббота;Хлеб;0;9;Продажа
22.09;Воскресенье;Йогурт;0;12;Продажа
22.09;Воскресенье;Конфеты;0;6;Продажа
22.09;Воскресенье;Молоко;32;0;Поступление
22.09;Воскресенье;Сок;0;3;Продажа
22.09;Воскресенье;Хлеб;0;10;Продажа
22.09;Воскресенье;Хлеб;0;2;Продажа
22.09;Воскресенье;Чай;49;0;Поступление
22.09;Воскресенье;Чай;0;8;Продажа
22.09;Воскресенье;Чай;0;6;Продажа
