дата;категория;сумма;тип_расхода;месячный_лимит
15.09;Продукты;1500;Необходимый;8000
15.09;Транспорт;200;Необходимый;2000
16.09;Продукты;800;Необходимый;8000
16.09;Развлечения;1200;Желательный;3000
17.09;Коммунальные;3500;Необходимый;4000
17.09;Продукты;600;Необходимый;8000
17.09;Транспорт;150;Необходимый;2000
18.09;Одежда;4500;Желательный;5000
19.09;Продукты;1100;Необходимый;8000
19.09;Транспорт;150;Необходимый;2000
20.09;Развлечения;2200;Желательный;3000
21.09;Продукты;900;Необходимый;8000
22.09;Здоровье;2500;Необходимый;3000
23.09;Продукты;750;Необходимый;8000
24.09;Образование;5000;Необходимый;6000
25.09;Развлечения;1800;Желательный;3000
26.09;Продукты;650;Необходимый;8000
27.09;Транспорт;300;Необходимый;2000
28.09;Продукты;1200;Необходимый;8000
29.09;Одежда;2200;Желательный;5000
