дата;товар;категория;количество;цена;сумма;менеджер;месяц
02.01.2025;Гитара;Книги;5;552;2760;Петрова А.;Март
07.01.2025;Платье летнее;Одежда;4;5717;22868;Смирнов А.;Январь
06.03.2025;Кроссовки Nike;Спорт;4;12145;48580;Козлова Е.;Март
21.02.2025;Ноутбук Dell;Электроника;2;53777;107554;Сидоров М.;Январь
06.03.2025;Учебник по Python;Книги;2;1591;3182;Смирнов А.;Февраль
15.01.2025;Samsung TV;Электроника;4;34724;138896;Сидоров М.;Март
26.02.2025;Гитара;Книги;2;2599;5198;Смирнов А.;Февраль
06.02.2025;Чайник;Дом и сад;3;10362;31086;Петрова А.;Март
27.03.2025;Чайник;Дом и сад;3;5245;15735;Смирнов А.;Март
13.01.2025;Samsung TV;Электроника;3;57745;173235;Козлова Е.;Февраль
02.02.2025;Велосипед;Спорт;2;21160;42320;Сидоров М.;Январь
11.03.2025;Samsung TV;Электроника;3;47637;142911;Петрова А.;Январь
05.03.2025;Набор кастрюль;Дом и сад;2;8409;16818;Сидоров М.;Январь
05.01.2025;Микроволновка;Дом и сад;2;8491;16982;Петрова А.;Февраль
10.02.2025;Кеды Adidas;Спорт;1;3177;3177;Козлова Е.;Январь
09.02.2025;Кроссовки Nike;Спорт;1;9951;9951;Смирнов А.;Февраль
20.01.2025;Кеды Adidas;Спорт;2;15759;31518;Иванов П.;Январь
18.02.2025;Джинсы;Одежда;4;5031;20124;Смирнов А.;Март
10.01.2025;Штанга;Спорт;2;15467;30934;Смирнов А.;Февраль
28.01.2025;Платье летнее;Одежда;5;4146;20730;Сидоров М.;Март
16.03.2025;Штанга;Спорт;2;24314;48628;Петрова А.;Март
05.01.2025;iPhone 15;Электроника;1;74997;74997;Иванов П.;Январь
27.03.2025;Гитара;Книги;3;2287;6861;Сидоров М.;Январь
20.02.2025;Пылесос;Дом и сад;3;6573;19719;Смирнов А.;Январь
05.02.2025;iPhone 15;Электроника;5;27276;136380;Козлова Е.;Февраль
12.03.2025;Мяч футбольный;Спорт;2;21956;43912;Иванов П.;Январь
26.03.2025;Джинсы;Одежда;1;3893;3893;Смирнов А.;Январь
24.01.2025;Микроволновка;Дом и сад;1;8337;8337;Смирнов А.;Январь
16.01.2025;Штанга;Спорт;5;4875;24375;Козлова Е.;Февраль
26.01.2025;Ноутбук Dell;Электроника;1;39396;39396;Петрова А.;Март
27.01.2025;Наушники Sony;Электроника;2;52252;104504;Козлова Е.;Январь
08.02.2025;Гитара;Книги;5;960;4800;Петрова А.;Март
28.03.2025;Наушники Sony;Электроника;5;23974;119870;Сидоров М.;Январь
21.03.2025;Микроволновка;Дом и сад;1;13081;13081;Смирнов А.;Март
15.01.2025;Наушники Sony;Электроника;5;50867;254335;Петрова А.;Январь
13.03.2025;Пылесос;Дом и сад;5;4232;21160;Иванов П.;Февраль
10.03.2025;Куртка зимняя;Одежда;5;2481;12405;Сидоров М.;Январь
19.03.2025;Ноутбук Dell;Электроника;3;21847;65541;Петрова А.;Февраль
26.02.2025;Ноутбук Dell;Электроника;2;20222;40444;Петрова А.;Март
24.01.2025;Велосипед;Спорт;2;5596;11192;Козлова Е.;Февраль
24.02.2025;Платье летнее;Одежда;1;3448;3448;Козлова Е.;Февраль
14.02.2025;Набор кастрюль;Дом и сад;4;10935;43740;Сидоров М.;Март
02.03.2025;Рубашка мужская;Одежда;5;4608;23040;Козлова Е.;Январь
08.01.2025;Набор кастрюль;Дом и сад;1;9168;9168;Иванов П.;Март
01.03.2025;Ноутбук Dell;Электроника;3;35204;105612;Иванов П.;Март
03.01.2025;Ноутбук Dell;Электроника;3;18560;55680;Смирнов А.;Март
08.01.2025;Штанга;Спорт;3;16882;50646;Сидоров М.;Март
20.03.2025;Ноутбук Dell;Электроника;2;49178;98356;Смирнов А.;Январь
01.01.2025;Платье летнее;Одежда;5;3731;18655;Петрова А.;Январь
18.02.2025;Учебник по Python;Книги;1;1701;1701;Сидоров М.;Февраль
02.01.2025;Штанга;Спорт;1;20067;20067;Смирнов А.;Март
28.03.2025;Джинсы;Одежда;2;2683;5366;Иванов П.;Март
11.01.2025;Пылесос;Дом и сад;5;7355;36775;Сидоров М.;Январь
15.02.2025;Ноутбук Dell;Электроника;4;56141;224564;Петрова А.;Февраль
11.01.2025;Ноутбук Dell;Электроника;1;44038;44038;Петрова А.;Февраль
26.03.2025;iPhone 15;Электроника;5;21144;105720;Петрова А.;Январь
13.03.2025;iPhone 15;Электроника;3;79865;239595;Сидоров М.;Март
11.01.2025;Samsung TV;Электроника;5;31797;158985;Иванов П.;Март
23.01.2025;Кроссовки Nike;Спорт;4;24248;96992;Смирнов А.;Февраль
08.03.2025;Микроволновка;Дом и сад;1;12081;12081;Иванов П.;Март
10.02.2025;Кеды Adidas;Спорт;1;11733;11733;Иванов П.;Январь
19.02.2025;Микроволновка;Дом и сад;1;10756;10756;Сидоров М.;Февраль
24.01.2025;Samsung TV;Электроника;2;66140;132280;Козлова Е.;Март
15.03.2025;Гитара;Книги;5;2429;12145;Петрова А.;Февраль
12.03.2025;Рубашка мужская;Одежда;4;4679;18716;Козлова Е.;Январь
22.01.2025;Учебник по Python;Книги;3;1649;4947;Сидоров М.;Март
01.02.2025;iPhone 15;Электроника;2;28888;57776;Сидоров М.;Январь
18.01.2025;Чайник;Дом и сад;3;6310;18930;Сидоров М.;Февраль
05.02.2025;"Роман ""Мастер и Маргарита""";Книги;4;2860;11440;Сидоров М.;Март
15.02.2025;Набор кастрюль;Дом и сад;3;12953;38859;Сидоров М.;Февраль
