день_недели;категория;количество_заказов;выручка
Понедельник;Электроника;16;31320
Понедельник;Одежда;27;38124
Понедельник;Дом и сад;15;16440
Понедельник;Спорт;34;55352
Понедельник;Книги;28;21772
Вторник;Электроника;23;57063
Вторник;Одежда;18;25560
Вторник;Дом и сад;28;43428
Вторник;Спорт;33;49995
Вторник;Книги;26;23509
Среда;Электроника;25;38925
Среда;Одежда;35;57050
Среда;Дом и сад;34;52904
Среда;Спорт;21;30240
Среда;Книги;22;22743
Четверг;Электроника;18;30888
Четверг;Одежда;33;45738
Четверг;Дом и сад;30;49890
Четверг;Спорт;28;49280
Четверг;Книги;25;15495
Пятница;Электроника;24;58932
Пятница;Одежда;24;42192
Пятница;Дом и сад;19;22876
Пятница;Спорт;15;16905
Пятница;Книги;26;18626
Суббота;Электроника;35;112717
Суббота;Одежда;44;77660
Суббота;Дом и сад;29;63133
Суббота;Спорт;25;50600
Суббота;Книги;45;58320
Воскресенье;Электроника;32;81456
Воскресенье;Одежда;33;56628
Воскресенье;Дом и сад;38;57266
Воскресенье;Спорт;40;65720
Воскресенье;Книги;41;44649
